applicant_id,predicted_default_proba,default_buckets,differential_interest_rate
APP1068,0.004899247950147226,Tier 1 (Lowest Risk),1%
APP1192,0.005307578921427046,Tier 1 (Lowest Risk),1%
APP1365,0.005819769600679136,Tier 1 (Lowest Risk),1%
APP1223,0.006275874825868307,Tier 1 (Lowest Risk),1%
APP1086,0.0065026572859075964,Tier 1 (Lowest Risk),1%
APP1186,0.007170794577159888,Tier 1 (Lowest Risk),1%
APP1100,0.012352098659662124,Tier 1 (Lowest Risk),1%
APP1208,0.014773732744705084,Tier 1 (Lowest Risk),1%
APP1316,0.01726883746887286,Tier 1 (Lowest Risk),1%
APP1153,0.018742271815837357,Tier 1 (Lowest Risk),1%
APP1259,0.021536408237280404,Tier 1 (Lowest Risk),1%
APP1302,0.021639256802000646,Tier 1 (Lowest Risk),1%
APP1332,0.021812835155265324,Tier 1 (Lowest Risk),1%
APP1125,0.021892154597009522,Tier 1 (Lowest Risk),1%
APP1205,0.02408805628043473,Tier 1 (Lowest Risk),1%
APP1059,0.024321067390678665,Tier 1 (Lowest Risk),1%
APP1065,0.024832997030278362,Tier 1 (Lowest Risk),1%
APP1165,0.026049104051597303,Tier 1 (Lowest Risk),1%
APP1388,0.0283056992479484,Tier 1 (Lowest Risk),1%
APP1215,0.028857942859731936,Tier 1 (Lowest Risk),1%
APP1317,0.0292355390023576,Tier 1 (Lowest Risk),1%
APP1353,0.029879234610482135,Tier 1 (Lowest Risk),1%
APP1271,0.030970798699237623,Tier 1 (Lowest Risk),1%
APP1346,0.03501295667875065,Tier 1 (Lowest Risk),1%
APP1101,0.03600364439339149,Tier 1 (Lowest Risk),1%
APP1367,0.03645655496587012,Tier 2,2%
APP1067,0.037805772645407985,Tier 2,2%
APP1393,0.038402643872260264,Tier 2,2%
APP1034,0.04304011985394686,Tier 2,2%
APP1257,0.045207101223637636,Tier 2,2%
APP1087,0.05187699087466032,Tier 2,2%
APP1069,0.05455150555849131,Tier 2,2%
APP1292,0.056596862992301065,Tier 2,2%
APP1202,0.05662500683799656,Tier 2,2%
APP1184,0.05759169875190385,Tier 2,2%
APP1073,0.0629448221847877,Tier 2,2%
APP1063,0.06330900554064627,Tier 2,2%
APP1326,0.0644023936541632,Tier 2,2%
APP1267,0.0647834693900951,Tier 2,2%
APP1304,0.06693980589388046,Tier 2,2%
APP1032,0.0683740320642138,Tier 2,2%
APP1322,0.07926718251173062,Tier 2,2%
APP1343,0.08276733743973665,Tier 2,2%
APP1023,0.08303556226103098,Tier 2,2%
APP1389,0.08455540722230001,Tier 2,2%
APP1242,0.10598319248291704,Tier 2,2%
APP1003,0.10843189617760975,Tier 2,2%
APP1294,0.1259378844403928,Tier 2,2%
APP1108,0.13940913445548148,Tier 2,2%
APP1013,0.14513611795247985,Tier 2,2%
APP1138,0.15122730192173184,Tier 3,4%
APP1340,0.15898669804304588,Tier 3,4%
APP1131,0.1601806682861473,Tier 3,4%
APP1030,0.16476778786854887,Tier 3,4%
APP1109,0.17342523916427255,Tier 3,4%
APP1270,0.17555268722746403,Tier 3,4%
APP1347,0.17708611808454364,Tier 3,4%
APP1058,0.19119440022968134,Tier 3,4%
APP1160,0.19235681874503008,Tier 3,4%
APP1299,0.19385601756273055,Tier 3,4%
APP1374,0.19819827851387006,Tier 3,4%
APP1117,0.20026620903000997,Tier 3,4%
APP1128,0.22005155606214924,Tier 3,4%
APP1054,0.23323030937750497,Tier 3,4%
APP1323,0.23985629991278185,Tier 3,4%
APP1167,0.25038766122226713,Tier 3,4%
APP1133,0.2637851699783621,Tier 3,4%
APP1253,0.2724016986350104,Tier 3,4%
APP1113,0.2958351392249889,Tier 3,4%
APP1064,0.30467852187155603,Tier 3,4%
APP1321,0.3056819344305778,Tier 3,4%
APP1241,0.31940811391988744,Tier 3,4%
APP1188,0.3252993004388168,Tier 3,4%
APP1324,0.33590757415071604,Tier 3,4%
APP1024,0.3385902689969585,Tier 3,4%
APP1239,0.3527056548909512,Tier 4 (Highest Risk),8%
APP1120,0.3645116683094543,Tier 4 (Highest Risk),8%
APP1002,0.37318118497069414,Tier 4 (Highest Risk),8%
APP1151,0.41540737364731684,Tier 4 (Highest Risk),8%
APP1132,0.4309345093518834,Tier 4 (Highest Risk),8%
APP1269,0.4548366480946335,Tier 4 (Highest Risk),8%
APP1399,0.49284062767868636,Tier 4 (Highest Risk),8%
APP1169,0.5039588544013553,Tier 4 (Highest Risk),8%
APP1293,0.5188640052080183,Tier 4 (Highest Risk),8%
APP1240,0.5228984481639487,Tier 4 (Highest Risk),8%
APP1308,0.528909392181173,Tier 4 (Highest Risk),8%
APP1383,0.5473207459273636,Tier 4 (Highest Risk),8%
APP1216,0.5559010963564281,Tier 4 (Highest Risk),8%
APP1119,0.5574632675544116,Tier 4 (Highest Risk),8%
APP1080,0.5605366012604783,Tier 4 (Highest Risk),8%
APP1045,0.5856141751089314,Tier 4 (Highest Risk),8%
APP1333,0.6147516933957397,Tier 4 (Highest Risk),8%
APP1238,0.6858403757047041,Tier 4 (Highest Risk),8%
APP1201,0.7050987846794867,Tier 4 (Highest Risk),8%
APP1091,0.7099458079970986,Tier 4 (Highest Risk),8%
APP1380,0.7248844037015746,Tier 4 (Highest Risk),8%
APP1398,0.8061233619405098,Tier 4 (Highest Risk),8%
APP1214,0.834109174560943,Tier 4 (Highest Risk),8%
APP1123,0.884557429746008,Tier 4 (Highest Risk),8%
APP1265,0.9464542503159525,Tier 4 (Highest Risk),8%
