"user_id","status","chargeback_amt","chargeback_cnt"
114,chargeback,799,1
152,chargeback,149,1
168,chargeback,149,1
211,chargeback,149,1
226,chargeback,2999,1
245,chargeback,49,1
280,chargeback,149,1
297,chargeback,99,1
314,chargeback,49,1
325,chargeback,49,1
328,chargeback,5048,2
338,chargeback,799,1
351,chargeback,1999,1
352,chargeback,4999,1
353,chargeback,1999,1
354,chargeback,4999,1
355,chargeback,4999,1
356,chargeback,2999,1
357,chargeback,1999,1
358,chargeback,999,1
359,chargeback,2999,1
360,chargeback,1999,1
361,chargeback,4999,1
362,chargeback,4999,1
363,chargeback,999,1
364,chargeback,999,1
365,chargeback,1999,1
