"user_id","DT_txn","DT_sign","days_difference"
357,"2026-01-23","2026-01-19",4.0
359,"2026-01-25","2026-01-18",7.0
361,"2026-01-20","2026-01-11",9.0
352,"2026-01-11","2025-12-31",11.0
353,"2026-01-21","2026-01-10",11.0
355,"2026-01-16","2026-01-05",11.0
356,"2026-01-29","2026-01-18",11.0
351,"2026-01-30","2026-01-15",15.0
362,"2026-01-23","2026-01-08",15.0
363,"2026-01-23","2026-01-06",17.0
364,"2026-01-22","2026-01-04",18.0
358,"2026-01-28","2026-01-06",22.0
360,"2026-01-13","2025-12-22",22.0
365,"2026-01-18","2025-12-27",22.0
354,"2026-01-21","2025-12-29",23.0
